,pitch_class,duration,tpc,other_stuff_will_not_be_read
0,,0.25,,bla
1,,0.25,,
2,,0.25,,
3,,0.25,,
4,,0.125,,
5,5,0.125,F,
6,5,0.125,F,
7,10,0.125,Bb,
8,9,0.125,A,
9,3,0.125,Eb,
10,2,0.0625,D,
11,5,0.0625,F,
12,2,0.0625,D,
13,10,0.0625,Bb,
14,5,0.125,F,
15,2,0.125,D,
16,0,0.1875,C,
17,9,0.0625,A,
18,10,0.125,Bb,
19,,0.125,,
20,,0.25,,
21,,0.125,,
22,5,0.125,F,
23,5,0.125,F,blabla
24,10,0.125,Bb,
25,9,0.125,A,
26,3,0.125,Eb,
27,2,0.0625,D,
28,5,0.0625,F,
29,2,0.0625,D,
30,10,0.0625,Bb,
31,5,0.125,F,
32,2,0.125,D,
33,0,0.1875,C,
34,9,0.0625,A,
35,10,0.125,Bb,
36,,0.125,,
37,,0.25,,
38,,0.125,,
39,10,0.0625,Bb,
40,0,0.0625,C,
41,2,0.125,D,
42,0,0.125,C,
43,10,0.125,Bb,
44,9,0.125,A,
45,10,0.0625,Bb,
46,0,0.0625,C,
47,10,0.0625,Bb,
48,9,0.0625,A,
49,7,0.125,G,
50,9,0.0625,A,blablalba
51,10,0.0625,Bb,
52,0,0.125,C,
53,10,0.125,Bb,
54,9,0.125,A,
55,7,0.125,G,
56,9,0.0625,A,
57,10,0.0625,Bb,
58,9,0.0625,A,
59,7,0.0625,G,
60,5,0.125,F,
61,5,0.125,F,
62,3,0.25,Eb,
63,2,0.125,D,
64,3,0.0625,Eb,
65,2,0.0625,D,
66,0,0.25,C,
67,10,0.125,Bb,
68,5,0.125,F,
69,3,0.25,Eb,
70,2,0.125,D,
71,3,0.0625,Eb,
72,2,0.0625,D,
73,0,0.25,C,
74,10,0.125,Bb,
75,,0.125,,
76,2,0.0625,D,
77,5,0.0625,F,
78,10,0.0625,Bb,
79,5,0.0625,F,
80,2,0.0625,D,
81,5,0.0625,F,
82,10,0.0625,Bb,
83,2,0.0625,D,
84,5,0.0625,F,
85,10,0.125,Bb,
86,10,0.125,Bb,
87,10,0.125,Bb,
88,10,0.125,Bb,
89,3,0.0625,Eb,
90,5,0.0625,F,
91,9,0.0625,A,
92,5,0.0625,F,
93,5,0.0625,F,
94,10,0.0625,Bb,
95,2,0.0625,D,
96,5,0.0625,F,
97,2,0.0625,D,
98,5,0.0625,F,
99,5,0.125,F,
100,5,0.125,F,
101,10,0.125,Bb,
102,10,0.125,Bb,
103,2,0.0625,D,
104,5,0.0625,F,
105,10,0.0625,Bb,
106,5,0.0625,F,
107,2,0.0625,D,
108,5,0.0625,F,
109,10,0.0625,Bb,
110,2,0.0625,D,
111,5,0.0625,F,
112,10,0.125,Bb,
113,10,0.125,Bb,
114,10,0.125,Bb,
115,10,0.125,Bb,
116,3,0.0625,Eb,
117,5,0.0625,F,
118,9,0.0625,A,
119,5,0.0625,F,
120,5,0.0625,F,
121,2,0.125,D,
122,10,0.125,Bb,
123,,0.125,,
124,5,0.125,F,
125,5,0.125,F,
126,10,0.125,Bb,
127,,0.125,,
128,2,0.0625,D,
129,5,0.0625,F,
130,10,0.0625,Bb,
131,5,0.0625,F,
132,0,0.0625,C,
133,5,0.0625,F,
134,9,0.0625,A,
135,5,0.0625,F,
136,10,0.125,Bb,
137,10,0.125,Bb,
138,10,0.125,Bb,
139,10,0.125,Bb,
140,2,0.0625,D,
141,5,0.0625,F,
142,10,0.0625,Bb,
143,5,0.0625,F,
144,2,0.0625,D,
145,5,0.0625,F,
146,10,0.0625,Bb,
147,5,0.0625,F,
148,10,0.125,Bb,
149,10,0.125,Bb,
150,10,0.125,Bb,
151,10,0.125,Bb,
152,3,0.0625,Eb,
153,5,0.0625,F,
154,9,0.0625,A,
155,5,0.0625,F,
156,2,0.0625,D,
157,5,0.0625,F,
158,10,0.0625,Bb,
159,2,0.0625,D,
160,5,0.0625,F,
161,5,0.125,F,
162,5,0.125,F,
163,10,0.125,Bb,
164,10,0.125,Bb,
165,3,0.0625,Eb,
166,5,0.0625,F,
167,9,0.0625,A,
168,5,0.0625,F,
169,5,0.0625,F,
170,10,0.0625,Bb,
171,2,0.0625,D,
172,5,0.0625,F,
173,2,0.0625,D,
174,5,0.0625,F,
175,5,0.125,F,
176,5,0.125,F,
177,10,0.125,Bb,
178,,0.125,,
179,2,0.0625,D,
180,5,0.0625,F,
181,10,0.0625,Bb,
182,5,0.0625,F,
183,0,0.0625,C,
184,5,0.0625,F,
185,9,0.0625,A,
186,5,0.0625,F,
187,10,0.125,Bb,
188,10,0.125,Bb,
189,10,0.125,Bb,
190,10,0.125,Bb,
191,2,0.0625,D,
192,5,0.0625,F,
193,10,0.0625,Bb,
194,5,0.0625,F,
195,2,0.0625,D,
196,5,0.0625,F,
197,10,0.0625,Bb,
198,5,0.0625,F,
199,10,0.125,Bb,
200,10,0.125,Bb,
201,10,0.125,Bb,
202,10,0.125,Bb,
203,3,0.0625,Eb,
204,5,0.0625,F,
205,9,0.0625,A,
206,5,0.0625,F,
207,2,0.0625,D,
208,5,0.0625,F,
209,10,0.0625,Bb,
210,2,0.0625,D,
211,5,0.0625,F,
212,5,0.125,F,
213,5,0.125,F,
214,10,0.125,Bb,
215,10,0.125,Bb,
216,3,0.0625,Eb,
217,5,0.0625,F,
218,9,0.0625,A,
219,5,0.0625,F,
220,5,0.0625,F,
221,10,0.0625,Bb,
222,2,0.0625,D,
223,5,0.0625,F,
224,2,0.0625,D,
225,5,0.0625,F,
226,5,0.125,F,
227,5,0.125,F,
228,10,0.125,Bb,
229,,0.125,,
230,2,0.0625,D,
231,2,0.0625,D,
232,2,0.0625,D,
233,2,0.0625,D,
234,2,0.0625,D,
235,2,0.0625,D,
236,2,0.0625,D,
237,2,0.0625,D,
238,10,0.125,Bb,
239,10,0.125,Bb,
240,9,0.125,A,
241,9,0.125,A,
242,7,0.125,G,
243,7,0.125,G,
244,6,0.125,F#,
245,6,0.125,F#,
246,2,0.0625,D,
247,2,0.0625,D,
248,2,0.0625,D,
249,2,0.0625,D,
250,2,0.0625,D,
251,2,0.0625,D,
252,0,0.0625,C,
253,0,0.0625,C,
254,7,0.1875,G,
255,7,0.1875,G,
256,9,0.0625,A,
257,9,0.0625,A,
258,10,0.125,Bb,
259,10,0.125,Bb,
260,9,0.0625,A,
261,9,0.0625,A,
262,7,0.0625,G,
263,7,0.0625,G,
264,0,0.0625,C,
265,0,0.0625,C,
266,0,0.0625,C,
267,0,0.0625,C,
268,0,0.0625,C,
269,0,0.0625,C,
270,0,0.0625,C,
271,0,0.0625,C,
272,9,0.125,A,
273,9,0.125,A,
274,7,0.125,G,
275,7,0.125,G,
276,5,0.125,F,
277,5,0.125,F,
278,4,0.125,E,
279,4,0.125,E,
280,0,0.0625,C,
281,0,0.0625,C,
282,0,0.0625,C,
283,0,0.0625,C,
284,0,0.0625,C,
285,0,0.0625,C,
286,0,0.0625,C,
287,0,0.0625,C,
288,5,0.1875,F,
289,5,0.1875,F,
290,7,0.0625,G,
291,7,0.0625,G,
292,9,0.125,A,
293,9,0.125,A,
294,9,0.125,A,
295,9,0.125,A,
296,0,0.0625,C,
297,5,0.0625,F,
298,9,0.0625,A,
299,5,0.0625,F,
300,2,0.0625,D,
301,5,0.0625,F,
302,10,0.0625,Bb,
303,5,0.0625,F,
304,5,0.125,F,
305,5,0.125,F,
306,10,0.125,Bb,
307,10,0.125,Bb,
308,3,0.0625,Eb,
309,5,0.0625,F,
310,9,0.0625,A,
311,5,0.0625,F,
312,2,0.0625,D,
313,5,0.0625,F,
314,10,0.0625,Bb,
315,5,0.0625,F,
316,5,0.125,F,
317,5,0.125,F,
318,10,0.125,Bb,
319,10,0.125,Bb,
320,0,0.0625,C,
321,5,0.0625,F,
322,9,0.0625,A,
323,5,0.0625,F,
324,2,0.0625,D,
325,5,0.0625,F,
326,10,0.0625,Bb,
327,5,0.0625,F,
328,5,0.125,F,
329,5,0.125,F,
330,10,0.125,Bb,
331,10,0.125,Bb,
332,3,0.0625,Eb,
333,5,0.0625,F,
334,9,0.0625,A,
335,5,0.0625,F,
336,2,0.0625,D,
337,10,0.0625,Bb,
338,5,0.0625,F,
339,2,0.0625,D,
340,5,0.0625,F,
341,5,0.125,F,
342,5,0.125,F,
343,10,0.125,Bb,
344,,0.125,,blablablablalba
