,filepath,qpm,time_sign_num,time_sign_den,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,Sati_Gymnopedie.mxl,34.0,3,4,1,2,major,0,rest,,,,,,,,0.25,0
1,Sati_Gymnopedie.mxl,34.0,3,4,1,2,major,0,rest,,,,,,,,0.25,0.0
2,Sati_Gymnopedie.mxl,34.0,3,4,1,2,major,0,note,B3,B,B,0.0,3,59.0,11.0,0.5,1.1111111111111112
3,Sati_Gymnopedie.mxl,34.0,3,4,1,2,major,0,note,D4,D,D,0.0,4,62.0,2.0,0.5,1.1111111111111112
4,Sati_Gymnopedie.mxl,34.0,3,4,1,2,major,0,note,F#4,F#,F,1.0,4,66.0,6.0,0.5,1.1111111111111112
5,Sati_Gymnopedie.mxl,34.0,3,4,1,2,major,0,note,G2,G,G,0.0,2,43.0,7.0,0.75,0.0
6,Sati_Gymnopedie.mxl,34.0,3,4,2,2,major,0,rest,,,,,,,,0.25,3.3333333333333335
7,Sati_Gymnopedie.mxl,34.0,3,4,2,2,major,0,rest,,,,,,,,0.25,3.3333333333333335
8,Sati_Gymnopedie.mxl,34.0,3,4,2,2,major,0,note,A3,A,A,0.0,3,57.0,9.0,0.5,4.444444444444445
9,Sati_Gymnopedie.mxl,34.0,3,4,2,2,major,0,note,C#4,C#,C,1.0,4,61.0,1.0,0.5,4.444444444444445
10,Sati_Gymnopedie.mxl,34.0,3,4,2,2,major,0,note,F#4,F#,F,1.0,4,66.0,6.0,0.5,4.444444444444445
11,Sati_Gymnopedie.mxl,34.0,3,4,2,2,major,0,note,D2,D,D,0.0,2,38.0,2.0,0.75,3.3333333333333335
12,Sati_Gymnopedie.mxl,34.0,3,4,3,2,major,0,rest,,,,,,,,0.25,6.666666666666667
13,Sati_Gymnopedie.mxl,34.0,3,4,3,2,major,0,rest,,,,,,,,0.25,6.666666666666666
14,Sati_Gymnopedie.mxl,34.0,3,4,3,2,major,0,note,B3,B,B,0.0,3,59.0,11.0,0.5,7.777777777777777
15,Sati_Gymnopedie.mxl,34.0,3,4,3,2,major,0,note,D4,D,D,0.0,4,62.0,2.0,0.5,7.777777777777777
16,Sati_Gymnopedie.mxl,34.0,3,4,3,2,major,0,note,F#4,F#,F,1.0,4,66.0,6.0,0.5,7.777777777777777
17,Sati_Gymnopedie.mxl,34.0,3,4,3,2,major,0,note,G2,G,G,0.0,2,43.0,7.0,0.75,6.666666666666666
18,Sati_Gymnopedie.mxl,34.0,3,4,4,2,major,0,rest,,,,,,,,0.25,10.0
19,Sati_Gymnopedie.mxl,34.0,3,4,4,2,major,0,rest,,,,,,,,0.25,10.0
20,Sati_Gymnopedie.mxl,34.0,3,4,4,2,major,0,note,A3,A,A,0.0,3,57.0,9.0,0.5,11.11111111111111
21,Sati_Gymnopedie.mxl,34.0,3,4,4,2,major,0,note,C#4,C#,C,1.0,4,61.0,1.0,0.5,11.11111111111111
22,Sati_Gymnopedie.mxl,34.0,3,4,4,2,major,0,note,F#4,F#,F,1.0,4,66.0,6.0,0.5,11.11111111111111
23,Sati_Gymnopedie.mxl,34.0,3,4,4,2,major,0,note,D2,D,D,0.0,2,38.0,2.0,0.75,9.999999999999998
24,Sati_Gymnopedie.mxl,34.0,3,4,5,2,major,0,rest,,,,,,,,0.25,13.333333333333332
25,Sati_Gymnopedie.mxl,34.0,3,4,5,2,major,0,note,F#5,F#,F,1.0,5,78.0,6.0,0.25,14.444444444444443
26,Sati_Gymnopedie.mxl,34.0,3,4,5,2,major,0,note,A5,A,A,0.0,5,81.0,9.0,0.25,15.555555555555554
27,Sati_Gymnopedie.mxl,34.0,3,4,5,2,major,0,rest,,,,,,,,0.25,13.33333333333333
28,Sati_Gymnopedie.mxl,34.0,3,4,5,2,major,0,note,B3,B,B,0.0,3,59.0,11.0,0.5,14.444444444444441
29,Sati_Gymnopedie.mxl,34.0,3,4,5,2,major,0,note,D4,D,D,0.0,4,62.0,2.0,0.5,14.444444444444441
30,Sati_Gymnopedie.mxl,34.0,3,4,5,2,major,0,note,F#4,F#,F,1.0,4,66.0,6.0,0.5,14.444444444444441
31,Sati_Gymnopedie.mxl,34.0,3,4,5,2,major,0,note,G2,G,G,0.0,2,43.0,7.0,0.75,13.33333333333333
32,Sati_Gymnopedie.mxl,34.0,3,4,6,2,major,0,note,G5,G,G,0.0,5,79.0,7.0,0.25,16.666666666666664
33,Sati_Gymnopedie.mxl,34.0,3,4,6,2,major,0,note,F#5,F#,F,1.0,5,78.0,6.0,0.25,17.777777777777775
34,Sati_Gymnopedie.mxl,34.0,3,4,6,2,major,0,note,C#5,C#,C,1.0,5,73.0,1.0,0.25,18.888888888888886
35,Sati_Gymnopedie.mxl,34.0,3,4,6,2,major,0,rest,,,,,,,,0.25,16.666666666666664
36,Sati_Gymnopedie.mxl,34.0,3,4,6,2,major,0,note,A3,A,A,0.0,3,57.0,9.0,0.5,17.777777777777775
37,Sati_Gymnopedie.mxl,34.0,3,4,6,2,major,0,note,C#4,C#,C,1.0,4,61.0,1.0,0.5,17.777777777777775
38,Sati_Gymnopedie.mxl,34.0,3,4,6,2,major,0,note,F#4,F#,F,1.0,4,66.0,6.0,0.5,17.777777777777775
39,Sati_Gymnopedie.mxl,34.0,3,4,6,2,major,0,note,D2,D,D,0.0,2,38.0,2.0,0.75,16.666666666666664
40,Sati_Gymnopedie.mxl,34.0,3,4,7,2,major,0,note,B4,B,B,0.0,4,71.0,11.0,0.25,19.999999999999996
41,Sati_Gymnopedie.mxl,34.0,3,4,7,2,major,0,note,C#5,C#,C,1.0,5,73.0,1.0,0.25,21.111111111111107
42,Sati_Gymnopedie.mxl,34.0,3,4,7,2,major,0,note,D5,D,D,0.0,5,74.0,2.0,0.25,22.222222222222218
43,Sati_Gymnopedie.mxl,34.0,3,4,7,2,major,0,rest,,,,,,,,0.25,19.999999999999996
44,Sati_Gymnopedie.mxl,34.0,3,4,7,2,major,0,note,B3,B,B,0.0,3,59.0,11.0,0.5,21.111111111111107
45,Sati_Gymnopedie.mxl,34.0,3,4,7,2,major,0,note,D4,D,D,0.0,4,62.0,2.0,0.5,21.111111111111107
46,Sati_Gymnopedie.mxl,34.0,3,4,7,2,major,0,note,F#4,F#,F,1.0,4,66.0,6.0,0.5,21.111111111111107
47,Sati_Gymnopedie.mxl,34.0,3,4,7,2,major,0,note,G2,G,G,0.0,2,43.0,7.0,0.75,19.999999999999996
48,Sati_Gymnopedie.mxl,34.0,3,4,8,2,major,0,note,A4,A,A,0.0,4,69.0,9.0,0.75,23.33333333333333
49,Sati_Gymnopedie.mxl,34.0,3,4,8,2,major,0,rest,,,,,,,,0.25,23.33333333333333
50,Sati_Gymnopedie.mxl,34.0,3,4,8,2,major,0,note,A3,A,A,0.0,3,57.0,9.0,0.5,24.44444444444444
51,Sati_Gymnopedie.mxl,34.0,3,4,8,2,major,0,note,C#4,C#,C,1.0,4,61.0,1.0,0.5,24.44444444444444
52,Sati_Gymnopedie.mxl,34.0,3,4,8,2,major,0,note,F#4,F#,F,1.0,4,66.0,6.0,0.5,24.44444444444444
53,Sati_Gymnopedie.mxl,34.0,3,4,8,2,major,0,note,D2,D,D,0.0,2,38.0,2.0,0.75,23.33333333333333
54,Sati_Gymnopedie.mxl,34.0,3,4,9,2,major,0,note,F#4,F#,F,1.0,4,66.0,6.0,0.75,26.66666666666666
55,Sati_Gymnopedie.mxl,34.0,3,4,9,2,major,0,rest,,,,,,,,0.25,26.66666666666666
56,Sati_Gymnopedie.mxl,34.0,3,4,9,2,major,0,note,B3,B,B,0.0,3,59.0,11.0,0.5,27.77777777777777
57,Sati_Gymnopedie.mxl,34.0,3,4,9,2,major,0,note,D4,D,D,0.0,4,62.0,2.0,0.5,27.77777777777777
58,Sati_Gymnopedie.mxl,34.0,3,4,9,2,major,0,note,F#4,F#,F,1.0,4,66.0,6.0,0.5,27.77777777777777
59,Sati_Gymnopedie.mxl,34.0,3,4,9,2,major,0,note,G2,G,G,0.0,2,43.0,7.0,0.75,26.66666666666666
60,Sati_Gymnopedie.mxl,34.0,3,4,10,2,major,0,note,F#4,F#,F,1.0,4,66.0,6.0,0.75,29.999999999999993
61,Sati_Gymnopedie.mxl,34.0,3,4,10,2,major,0,rest,,,,,,,,0.25,29.999999999999996
62,Sati_Gymnopedie.mxl,34.0,3,4,10,2,major,0,note,A3,A,A,0.0,3,57.0,9.0,0.5,31.111111111111107
63,Sati_Gymnopedie.mxl,34.0,3,4,10,2,major,0,note,C#4,C#,C,1.0,4,61.0,1.0,0.5,31.111111111111107
64,Sati_Gymnopedie.mxl,34.0,3,4,10,2,major,0,note,F#4,F#,F,1.0,4,66.0,6.0,0.5,31.111111111111107
65,Sati_Gymnopedie.mxl,34.0,3,4,10,2,major,0,note,D2,D,D,0.0,2,38.0,2.0,0.75,29.999999999999996
66,Sati_Gymnopedie.mxl,34.0,3,4,11,2,major,0,note,F#4,F#,F,1.0,4,66.0,6.0,0.75,33.33333333333333
67,Sati_Gymnopedie.mxl,34.0,3,4,11,2,major,0,rest,,,,,,,,0.25,33.33333333333333
68,Sati_Gymnopedie.mxl,34.0,3,4,11,2,major,0,note,B3,B,B,0.0,3,59.0,11.0,0.5,34.44444444444444
69,Sati_Gymnopedie.mxl,34.0,3,4,11,2,major,0,note,D4,D,D,0.0,4,62.0,2.0,0.5,34.44444444444444
70,Sati_Gymnopedie.mxl,34.0,3,4,11,2,major,0,note,F#4,F#,F,1.0,4,66.0,6.0,0.5,34.44444444444444
71,Sati_Gymnopedie.mxl,34.0,3,4,11,2,major,0,note,G2,G,G,0.0,2,43.0,7.0,0.75,33.33333333333333
72,Sati_Gymnopedie.mxl,34.0,3,4,12,2,major,0,note,F#4,F#,F,1.0,4,66.0,6.0,0.75,36.666666666666664
73,Sati_Gymnopedie.mxl,34.0,3,4,12,2,major,0,rest,,,,,,,,0.25,36.666666666666664
74,Sati_Gymnopedie.mxl,34.0,3,4,12,2,major,0,note,A3,A,A,0.0,3,57.0,9.0,0.5,37.77777777777778
75,Sati_Gymnopedie.mxl,34.0,3,4,12,2,major,0,note,C#4,C#,C,1.0,4,61.0,1.0,0.5,37.77777777777778
76,Sati_Gymnopedie.mxl,34.0,3,4,12,2,major,0,note,F#4,F#,F,1.0,4,66.0,6.0,0.5,37.77777777777778
77,Sati_Gymnopedie.mxl,34.0,3,4,12,2,major,0,note,D2,D,D,0.0,2,38.0,2.0,0.75,36.666666666666664
78,Sati_Gymnopedie.mxl,34.0,3,4,13,2,major,0,rest,,,,,,,,0.25,40.0
79,Sati_Gymnopedie.mxl,34.0,3,4,13,2,major,0,note,F#5,F#,F,1.0,5,78.0,6.0,0.25,41.111111111111114
80,Sati_Gymnopedie.mxl,34.0,3,4,13,2,major,0,note,A5,A,A,0.0,5,81.0,9.0,0.25,42.22222222222223
81,Sati_Gymnopedie.mxl,34.0,3,4,13,2,major,0,rest,,,,,,,,0.25,40.00000000000001
82,Sati_Gymnopedie.mxl,34.0,3,4,13,2,major,0,note,B3,B,B,0.0,3,59.0,11.0,0.5,41.11111111111112
83,Sati_Gymnopedie.mxl,34.0,3,4,13,2,major,0,note,D4,D,D,0.0,4,62.0,2.0,0.5,41.11111111111112
84,Sati_Gymnopedie.mxl,34.0,3,4,13,2,major,0,note,F#4,F#,F,1.0,4,66.0,6.0,0.5,41.11111111111112
85,Sati_Gymnopedie.mxl,34.0,3,4,13,2,major,0,note,G2,G,G,0.0,2,43.0,7.0,0.75,40.00000000000001
86,Sati_Gymnopedie.mxl,34.0,3,4,14,2,major,0,note,G5,G,G,0.0,5,79.0,7.0,0.25,43.33333333333334
87,Sati_Gymnopedie.mxl,34.0,3,4,14,2,major,0,note,F#5,F#,F,1.0,5,78.0,6.0,0.25,44.44444444444446
88,Sati_Gymnopedie.mxl,34.0,3,4,14,2,major,0,note,C#5,C#,C,1.0,5,73.0,1.0,0.25,45.55555555555557
89,Sati_Gymnopedie.mxl,34.0,3,4,14,2,major,0,rest,,,,,,,,0.25,43.33333333333335
90,Sati_Gymnopedie.mxl,34.0,3,4,14,2,major,0,note,A3,A,A,0.0,3,57.0,9.0,0.5,44.444444444444464
91,Sati_Gymnopedie.mxl,34.0,3,4,14,2,major,0,note,C#4,C#,C,1.0,4,61.0,1.0,0.5,44.444444444444464
92,Sati_Gymnopedie.mxl,34.0,3,4,14,2,major,0,note,F#4,F#,F,1.0,4,66.0,6.0,0.5,44.444444444444464
93,Sati_Gymnopedie.mxl,34.0,3,4,14,2,major,0,note,D2,D,D,0.0,2,38.0,2.0,0.75,43.33333333333335
94,Sati_Gymnopedie.mxl,34.0,3,4,15,2,major,0,note,B4,B,B,0.0,4,71.0,11.0,0.25,46.666666666666686
95,Sati_Gymnopedie.mxl,34.0,3,4,15,2,major,0,note,C#5,C#,C,1.0,5,73.0,1.0,0.25,47.7777777777778
96,Sati_Gymnopedie.mxl,34.0,3,4,15,2,major,0,note,D5,D,D,0.0,5,74.0,2.0,0.25,48.888888888888914
97,Sati_Gymnopedie.mxl,34.0,3,4,15,2,major,0,rest,,,,,,,,0.25,46.66666666666669
98,Sati_Gymnopedie.mxl,34.0,3,4,15,2,major,0,note,B3,B,B,0.0,3,59.0,11.0,0.5,47.77777777777781
99,Sati_Gymnopedie.mxl,34.0,3,4,15,2,major,0,note,D4,D,D,0.0,4,62.0,2.0,0.5,47.77777777777781
100,Sati_Gymnopedie.mxl,34.0,3,4,15,2,major,0,note,F#4,F#,F,1.0,4,66.0,6.0,0.5,47.77777777777781
101,Sati_Gymnopedie.mxl,34.0,3,4,15,2,major,0,note,G2,G,G,0.0,2,43.0,7.0,0.75,46.66666666666669
102,Sati_Gymnopedie.mxl,34.0,3,4,16,2,major,0,note,A4,A,A,0.0,4,69.0,9.0,0.75,50.00000000000003
103,Sati_Gymnopedie.mxl,34.0,3,4,16,2,major,0,rest,,,,,,,,0.25,50.00000000000003
104,Sati_Gymnopedie.mxl,34.0,3,4,16,2,major,0,note,A3,A,A,0.0,3,57.0,9.0,0.5,51.11111111111114
105,Sati_Gymnopedie.mxl,34.0,3,4,16,2,major,0,note,C#4,C#,C,1.0,4,61.0,1.0,0.5,51.11111111111114
106,Sati_Gymnopedie.mxl,34.0,3,4,16,2,major,0,note,F#4,F#,F,1.0,4,66.0,6.0,0.5,51.11111111111114
107,Sati_Gymnopedie.mxl,34.0,3,4,16,2,major,0,note,D2,D,D,0.0,2,38.0,2.0,0.75,50.00000000000003
108,Sati_Gymnopedie.mxl,34.0,3,4,17,2,major,0,note,C#5,C#,C,1.0,5,73.0,1.0,0.75,53.333333333333364
109,Sati_Gymnopedie.mxl,34.0,3,4,17,2,major,0,rest,,,,,,,,0.25,53.333333333333364
110,Sati_Gymnopedie.mxl,34.0,3,4,17,2,major,0,note,A3,A,A,0.0,3,57.0,9.0,0.5,54.44444444444448
111,Sati_Gymnopedie.mxl,34.0,3,4,17,2,major,0,note,C#4,C#,C,1.0,4,61.0,1.0,0.5,54.44444444444448
112,Sati_Gymnopedie.mxl,34.0,3,4,17,2,major,0,note,F#4,F#,F,1.0,4,66.0,6.0,0.5,54.44444444444448
113,Sati_Gymnopedie.mxl,34.0,3,4,17,2,major,0,note,F#2,F#,F,1.0,2,42.0,6.0,0.75,53.333333333333364
114,Sati_Gymnopedie.mxl,34.0,3,4,18,2,major,0,note,F#5,F#,F,1.0,5,78.0,6.0,0.75,56.6666666666667
115,Sati_Gymnopedie.mxl,34.0,3,4,18,2,major,0,rest,,,,,,,,0.25,56.6666666666667
116,Sati_Gymnopedie.mxl,34.0,3,4,18,2,major,0,note,B3,B,B,0.0,3,59.0,11.0,0.5,57.777777777777814
117,Sati_Gymnopedie.mxl,34.0,3,4,18,2,major,0,note,D4,D,D,0.0,4,62.0,2.0,0.5,57.777777777777814
118,Sati_Gymnopedie.mxl,34.0,3,4,18,2,major,0,note,F#4,F#,F,1.0,4,66.0,6.0,0.5,57.777777777777814
119,Sati_Gymnopedie.mxl,34.0,3,4,18,2,major,0,note,B1,B,B,0.0,1,35.0,11.0,0.75,56.6666666666667
120,Sati_Gymnopedie.mxl,34.0,3,4,19,2,major,0,note,E4,E,E,0.0,4,64.0,4.0,0.75,60.000000000000036
121,Sati_Gymnopedie.mxl,34.0,3,4,19,2,major,0,rest,,,,,,,,0.25,60.000000000000036
122,Sati_Gymnopedie.mxl,34.0,3,4,19,2,major,0,note,G3,G,G,0.0,3,55.0,7.0,0.5,61.11111111111115
123,Sati_Gymnopedie.mxl,34.0,3,4,19,2,major,0,note,B3,B,B,0.0,3,59.0,11.0,0.5,61.11111111111115
124,Sati_Gymnopedie.mxl,34.0,3,4,19,2,major,0,note,E2,E,E,0.0,2,40.0,4.0,0.75,60.000000000000036
125,Sati_Gymnopedie.mxl,34.0,3,4,20,2,major,0,note,E4,E,E,0.0,4,64.0,4.0,0.75,63.33333333333337
126,Sati_Gymnopedie.mxl,34.0,3,4,20,2,major,0,rest,,,,,,,,0.25,63.333333333333364
127,Sati_Gymnopedie.mxl,34.0,3,4,20,2,major,0,note,B3,B,B,0.0,3,59.0,11.0,0.5,64.44444444444447
128,Sati_Gymnopedie.mxl,34.0,3,4,20,2,major,0,note,D4,D,D,0.0,4,62.0,2.0,0.5,64.44444444444447
129,Sati_Gymnopedie.mxl,34.0,3,4,20,2,major,0,note,G4,G,G,0.0,4,67.0,7.0,0.5,64.44444444444447
130,Sati_Gymnopedie.mxl,34.0,3,4,20,2,major,0,note,E2,E,E,0.0,2,40.0,4.0,0.75,63.333333333333364
131,Sati_Gymnopedie.mxl,34.0,3,4,21,2,major,0,note,E4,E,E,0.0,4,64.0,4.0,0.75,66.6666666666667
132,Sati_Gymnopedie.mxl,34.0,3,4,21,2,major,0,rest,,,,,,,,0.25,66.6666666666667
133,Sati_Gymnopedie.mxl,34.0,3,4,21,2,major,0,note,F3,F,F,0.0,3,53.0,5.0,0.5,67.77777777777781
134,Sati_Gymnopedie.mxl,34.0,3,4,21,2,major,0,note,A3,A,A,0.0,3,57.0,9.0,0.5,67.77777777777781
135,Sati_Gymnopedie.mxl,34.0,3,4,21,2,major,0,note,D4,D,D,0.0,4,62.0,2.0,0.5,67.77777777777781
136,Sati_Gymnopedie.mxl,34.0,3,4,21,2,major,0,note,D2,D,D,0.0,2,38.0,2.0,0.75,66.66666666666671
137,Sati_Gymnopedie.mxl,34.0,3,4,22,2,major,0,note,A4,A,A,0.0,4,69.0,9.0,0.25,70.00000000000004
138,Sati_Gymnopedie.mxl,34.0,3,4,22,2,major,0,note,B4,B,B,0.0,4,71.0,11.0,0.25,71.11111111111116
139,Sati_Gymnopedie.mxl,34.0,3,4,22,2,major,0,note,C5,C,C,0.0,5,72.0,0.0,0.25,72.22222222222227
140,Sati_Gymnopedie.mxl,34.0,3,4,22,2,major,0,rest,,,,,,,,0.25,70.00000000000006
141,Sati_Gymnopedie.mxl,34.0,3,4,22,2,major,0,note,A3,A,A,0.0,3,57.0,9.0,0.5,71.11111111111117
142,Sati_Gymnopedie.mxl,34.0,3,4,22,2,major,0,note,C4,C,C,0.0,4,60.0,0.0,0.5,71.11111111111117
143,Sati_Gymnopedie.mxl,34.0,3,4,22,2,major,0,note,E4,E,E,0.0,4,64.0,4.0,0.5,71.11111111111117
144,Sati_Gymnopedie.mxl,34.0,3,4,22,2,major,0,note,A1,A,A,0.0,1,33.0,9.0,0.75,70.00000000000007
145,Sati_Gymnopedie.mxl,34.0,3,4,23,2,major,0,note,E5,E,E,0.0,5,76.0,4.0,0.25,73.3333333333334
146,Sati_Gymnopedie.mxl,34.0,3,4,23,2,major,0,note,D5,D,D,0.0,5,74.0,2.0,0.25,74.44444444444451
147,Sati_Gymnopedie.mxl,34.0,3,4,23,2,major,0,note,B4,B,B,0.0,4,71.0,11.0,0.25,75.55555555555563
148,Sati_Gymnopedie.mxl,34.0,3,4,23,2,major,0,rest,,,,,,,,0.25,73.33333333333341
149,Sati_Gymnopedie.mxl,34.0,3,4,23,2,major,0,note,G3,G,G,0.0,3,55.0,7.0,0.5,74.44444444444453
150,Sati_Gymnopedie.mxl,34.0,3,4,23,2,major,0,note,B3,B,B,0.0,3,59.0,11.0,0.5,74.44444444444453
151,Sati_Gymnopedie.mxl,34.0,3,4,23,2,major,0,note,E4,E,E,0.0,4,64.0,4.0,0.5,74.44444444444453
152,Sati_Gymnopedie.mxl,34.0,3,4,23,2,major,0,note,D2,D,D,0.0,2,38.0,2.0,0.75,73.33333333333343
153,Sati_Gymnopedie.mxl,34.0,3,4,24,2,major,0,note,D5,D,D,0.0,5,74.0,2.0,0.25,76.66666666666676
154,Sati_Gymnopedie.mxl,34.0,3,4,24,2,major,0,note,C5,C,C,0.0,5,72.0,0.0,0.25,77.77777777777787
155,Sati_Gymnopedie.mxl,34.0,3,4,24,2,major,0,note,B4,B,B,0.0,4,71.0,11.0,0.25,78.88888888888899
156,Sati_Gymnopedie.mxl,34.0,3,4,24,2,major,0,rest,,,,,,,,0.25,76.66666666666677
157,Sati_Gymnopedie.mxl,34.0,3,4,24,2,major,0,note,D3,D,D,0.0,3,50.0,2.0,0.5,77.77777777777789
158,Sati_Gymnopedie.mxl,34.0,3,4,24,2,major,0,note,G3,G,G,0.0,3,55.0,7.0,0.5,77.77777777777789
159,Sati_Gymnopedie.mxl,34.0,3,4,24,2,major,0,note,B3,B,B,0.0,3,59.0,11.0,0.5,77.77777777777789
160,Sati_Gymnopedie.mxl,34.0,3,4,24,2,major,0,note,E4,E,E,0.0,4,64.0,4.0,0.5,77.77777777777789
161,Sati_Gymnopedie.mxl,34.0,3,4,24,2,major,0,note,D2,D,D,0.0,2,38.0,2.0,0.75,76.66666666666679
162,Sati_Gymnopedie.mxl,34.0,3,4,25,2,major,0,note,D5,D,D,0.0,5,74.0,2.0,0.75,80.00000000000011
163,Sati_Gymnopedie.mxl,34.0,3,4,25,2,major,0,rest,,,,,,,,0.25,80.00000000000011
164,Sati_Gymnopedie.mxl,34.0,3,4,25,2,major,0,note,C3,C,C,0.0,3,48.0,0.0,0.5,81.11111111111123
165,Sati_Gymnopedie.mxl,34.0,3,4,25,2,major,0,note,E3,E,E,0.0,3,52.0,4.0,0.5,81.11111111111123
166,Sati_Gymnopedie.mxl,34.0,3,4,25,2,major,0,note,A3,A,A,0.0,3,57.0,9.0,0.5,81.11111111111123
167,Sati_Gymnopedie.mxl,34.0,3,4,25,2,major,0,note,D4,D,D,0.0,4,62.0,2.0,0.5,81.11111111111123
168,Sati_Gymnopedie.mxl,34.0,3,4,25,2,major,0,note,D2,D,D,0.0,2,38.0,2.0,0.75,80.00000000000013
169,Sati_Gymnopedie.mxl,34.0,3,4,26,2,major,0,note,D5,D,D,0.0,5,74.0,2.0,0.5,83.33333333333346
170,Sati_Gymnopedie.mxl,34.0,3,4,26,2,major,0,note,D5,D,D,0.0,5,74.0,2.0,0.25,85.55555555555569
171,Sati_Gymnopedie.mxl,34.0,3,4,26,2,major,0,rest,,,,,,,,0.25,83.33333333333347
172,Sati_Gymnopedie.mxl,34.0,3,4,26,2,major,0,note,C3,C,C,0.0,3,48.0,0.0,0.5,84.44444444444458
173,Sati_Gymnopedie.mxl,34.0,3,4,26,2,major,0,note,F#3,F#,F,1.0,3,54.0,6.0,0.5,84.44444444444458
174,Sati_Gymnopedie.mxl,34.0,3,4,26,2,major,0,note,A3,A,A,0.0,3,57.0,9.0,0.5,84.44444444444458
175,Sati_Gymnopedie.mxl,34.0,3,4,26,2,major,0,note,D4,D,D,0.0,4,62.0,2.0,0.5,84.44444444444458
176,Sati_Gymnopedie.mxl,34.0,3,4,26,2,major,0,note,D2,D,D,0.0,2,38.0,2.0,0.75,83.33333333333348
177,Sati_Gymnopedie.mxl,34.0,3,4,27,2,major,0,note,E5,E,E,0.0,5,76.0,4.0,0.25,86.66666666666681
178,Sati_Gymnopedie.mxl,34.0,3,4,27,2,major,0,note,F5,F,F,0.0,5,77.0,5.0,0.25,87.77777777777793
179,Sati_Gymnopedie.mxl,34.0,3,4,27,2,major,0,note,G5,G,G,0.0,5,79.0,7.0,0.25,88.88888888888904
180,Sati_Gymnopedie.mxl,34.0,3,4,27,2,major,0,rest,,,,,,,,0.25,86.66666666666683
181,Sati_Gymnopedie.mxl,34.0,3,4,27,2,major,0,note,A3,A,A,0.0,3,57.0,9.0,0.5,87.77777777777794
182,Sati_Gymnopedie.mxl,34.0,3,4,27,2,major,0,note,C4,C,C,0.0,4,60.0,0.0,0.5,87.77777777777794
183,Sati_Gymnopedie.mxl,34.0,3,4,27,2,major,0,note,F4,F,F,0.0,4,65.0,5.0,0.5,87.77777777777794
184,Sati_Gymnopedie.mxl,34.0,3,4,27,2,major,0,note,D2,D,D,0.0,2,38.0,2.0,0.75,86.66666666666684
185,Sati_Gymnopedie.mxl,34.0,3,4,28,2,major,0,note,A5,A,A,0.0,5,81.0,9.0,0.25,90.00000000000017
186,Sati_Gymnopedie.mxl,34.0,3,4,28,2,major,0,note,C5,C,C,0.0,5,72.0,0.0,0.25,91.11111111111128
